Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1001,1001.000,10,8184,16314,22999,28320,47006,63897,122914,165913
1,1000,1000.000,5,4298,6440,7497,9391,13284,16417,23589,53685
2,1000,1000.000,10,3609,5486,6442,8249,12040,15029,19679,29812
3,1000,1000.000,11,3636,5649,6199,7884,11366,13351,19106,24465
4,886,886.000,6,3698,5672,41235,8315,12828,18474,987261,1026856
5,358,358.000,1,9014,13934,16821,21563,33313,44340,57644,68756
6,1756,1756.000,4,5892,11303,13580,18293,27751,32342,50417,91990
7,1000,1000.000,4,3124,5280,8495,8056,14703,26839,72040,88390
8,1000,1000.000,2,3430,5364,6262,7778,11501,13878,21943,48069
9,1000,1000.000,3,2665,4499,5117,6519,9488,11470,16352,28185
10,1000,1000.000,3,2391,3802,4360,5297,7780,9762,15633,22855
11,1000,1000.000,4,2769,4434,5227,6493,9627,12317,19856,28360
12,1000,1000.000,3,2850,4741,9124,7855,13464,18891,117696,128667
13,1000,1000.000,3,2324,3909,4496,5593,8472,10658,15473,27787
14,1000,1000.000,3,2868,4703,5633,6935,10685,14473,22226,28321
15,1000,1000.000,3,3664,5811,6814,8536,13016,15925,23462,46810
16,1000,1000.000,3,3132,5050,5518,6824,10267,12067,16798,30684
17,694,694.000,4,3453,5284,51240,7468,12392,23989,1003051,1038048
18,694,694.000,3,8257,13806,16435,21845,31977,38879,56593,65437
19,1606,1606.000,3,4910,9301,11745,16415,24651,30173,41496,59166
