Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1731101073.737220,80767,19,1
3,OrderStatus,1731101073.740794,11236,17,1
2,Payment,1731101073.744774,19887,20,1
2,Payment,1731101073.748794,36459,16,1
1,NewOrder,1731101073.752808,48253,15,1
2,Payment,1731101073.756796,48849,14,1
4,Delivery,1731101073.760792,50173,13,1
1,NewOrder,1731101073.764801,50300,12,1
2,Payment,1731101073.768801,34166,11,1
1,NewOrder,1731101073.773081,43223,10,1
1,NewOrder,1731101073.776796,29225,21,1
2,Payment,1731101073.780789,25472,22,1
1,NewOrder,1731101073.784789,45978,23,1
2,Payment,1731101073.788785,23207,24,1
2,Payment,1731101073.792801,38315,25,1
1,NewOrder,1731101073.797540,30406,26,1
2,Payment,1731101073.800797,31465,27,1
1,NewOrder,1731101073.804802,22837,28,1
1,NewOrder,1731101073.809769,16760,4,1
3,OrderStatus,1731101073.812864,6556,30,1
1,NewOrder,1731101073.816851,10252,9,1
3,OrderStatus,1731101073.822149,4345,29,1
2,Payment,1731101073.824787,12881,8,1
1,NewOrder,1731101073.828807,21442,3,1
2,Payment,1731101073.832788,15454,7,1
2,Payment,1731101073.836784,5474,0,1
2,Payment,1731101073.840792,12105,1,1
2,Payment,1731101073.844781,13645,2,1
1,NewOrder,1731101073.848786,10553,6,1
2,Payment,1731101073.852809,12508,5,1
2,Payment,1731101073.856784,8235,31,1
1,NewOrder,1731101073.860804,18332,18,1
1,NewOrder,1731101073.864789,8579,17,1
1,NewOrder,1731101073.868786,7197,20,1
2,Payment,1731101073.872787,10775,16,1
2,Payment,1731101073.877511,5840,15,1
1,NewOrder,1731101073.880782,8134,11,1
2,Payment,1731101073.884778,4678,14,1
4,Delivery,1731101073.888794,17136,21,1
2,Payment,1731101073.892770,4002,22,1
3,OrderStatus,1731101073.896786,3332,13,1
1,NewOrder,1731101073.900784,9255,24,1
1,NewOrder,1731101073.904799,8909,12,1
2,Payment,1731101073.908788,8904,10,1
1,NewOrder,1731101073.912782,4302,19,1
2,Payment,1731101073.916780,6023,30,1
2,Payment,1731101073.920910,5945,29,1
2,Payment,1731101073.924779,20944,4,1
1,NewOrder,1731101073.928809,11396,9,1
2,Payment,1731101073.932813,20348,28,1
4,Delivery,1731101073.936796,18773,26,1
1,NewOrder,1731101073.941815,13130,23,1
1,NewOrder,1731101073.944902,19164,25,1
1,NewOrder,1731101073.949057,14200,27,1
2,Payment,1731101073.952782,3457,8,1
1,NewOrder,1731101073.956782,8991,0,1
1,NewOrder,1731101073.960777,7901,7,1
1,NewOrder,1731101073.964777,7377,3,1
1,NewOrder,1731101073.968780,8156,1,1
2,Payment,1731101073.972777,6099,2,1
2,Payment,1731101073.976788,6943,6,1
2,Payment,1731101073.980789,5627,31,1
1,NewOrder,1731101073.984779,10118,5,1
2,Payment,1731101073.988794,3127,17,1
2,Payment,1731101073.992787,3688,20,1
1,NewOrder,1731101073.996785,5102,18,1
1,NewOrder,1731101074.000789,6885,15,1
2,Payment,1731101074.004792,3357,16,1
1,NewOrder,1731101074.008785,7687,11,1
1,NewOrder,1731101074.012781,16629,14,1
2,Payment,1731101074.016885,7731,22,1
1,NewOrder,1731101074.020817,15935,13,1
1,NewOrder,1731101074.024814,5144,21,1
1,NewOrder,1731101074.028811,5294,24,1
1,NewOrder,1731101074.032800,5416,12,1
2,Payment,1731101074.036794,3838,19,1
1,NewOrder,1731101074.040804,15908,10,1
1,NewOrder,1731101074.044812,8612,30,1
2,Payment,1731101074.048840,12687,29,1
2,Payment,1731101074.052816,5831,9,1
3,OrderStatus,1731101074.056788,3582,4,1
2,Payment,1731101074.060823,5657,28,1
2,Payment,1731101074.065635,5694,23,1
1,NewOrder,1731101074.068824,19215,26,1
2,Payment,1731101074.072807,3055,8,1
5,StockLevel,1731101074.076800,4287,27,1
1,NewOrder,1731101074.081330,5936,25,1
1,NewOrder,1731101074.084815,6952,0,1
1,NewOrder,1731101074.088811,6862,7,1
2,Payment,1731101074.092818,4524,3,1
1,NewOrder,1731101074.096823,10372,1,1
2,Payment,1731101074.100817,15023,2,1
2,Payment,1731101074.104792,6559,6,1
2,Payment,1731101074.108832,10871,31,1
2,Payment,1731101074.112824,6482,17,1
1,NewOrder,1731101074.116840,8416,5,1
1,NewOrder,1731101074.120818,10637,20,1
2,Payment,1731101074.124851,6055,18,1
5,StockLevel,1731101074.129023,3045,15,1
2,Payment,1731101074.132818,2638,16,1
1,NewOrder,1731101074.136804,6315,11,1
2,Payment,1731101074.140818,3471,22,1
1,NewOrder,1731101074.144810,4470,14,1
1,NewOrder,1731101074.148828,6625,21,1
2,Payment,1731101074.152797,3592,24,1
2,Payment,1731101074.156813,5320,13,1
3,OrderStatus,1731101074.160814,3132,12,1
2,Payment,1731101074.164817,4020,19,1
2,Payment,1731101074.168813,3418,30,1
2,Payment,1731101074.172792,5263,10,1
1,NewOrder,1731101074.176796,18443,9,1
5,StockLevel,1731101074.180823,4875,4,1
2,Payment,1731101074.184829,4121,29,1
2,Payment,1731101074.188826,4868,28,1
2,Payment,1731101074.192831,5428,23,1
1,NewOrder,1731101074.196815,15975,8,1
4,Delivery,1731101074.200818,19392,27,1
2,Payment,1731101074.204791,4252,25,1
2,Payment,1731101074.208810,4715,26,1
1,NewOrder,1731101074.212792,6789,0,1
1,NewOrder,1731101074.216823,8471,7,1
3,OrderStatus,1731101074.220779,1644,3,1
2,Payment,1731101074.224790,3131,1,1
2,Payment,1731101074.228789,5893,6,1
4,Delivery,1731101074.232811,23,2,1
2,Payment,1731101074.236791,6417,17,1
1,NewOrder,1731101074.240883,30555,31,1
2,Payment,1731101074.244880,5363,5,1
5,StockLevel,1731101074.248796,3284,18,1
5,StockLevel,1731101074.252806,4959,20,1
1,NewOrder,1731101074.256818,9185,15,1
1,NewOrder,1731101074.260826,16885,16,1
2,Payment,1731101074.264838,8086,11,1
1,NewOrder,1731101074.268849,26425,22,1
2,Payment,1731101074.272845,3933,14,1
1,NewOrder,1731101074.276893,9281,21,1
1,NewOrder,1731101074.280846,11499,24,1
4,Delivery,1731101074.284837,9364,13,1
1,NewOrder,1731101074.288792,5950,12,1
1,NewOrder,1731101074.294677,8615,19,1
1,NewOrder,1731101074.296803,7120,30,1
1,NewOrder,1731101074.300905,13488,10,1
2,Payment,1731101074.304820,3179,4,1
2,Payment,1731101074.308837,3234,29,1
2,Payment,1731101074.312829,3226,28,1
4,Delivery,1731101074.316826,9120,9,1
2,Payment,1731101074.320845,5599,23,1
1,NewOrder,1731101074.324852,8706,25,1
2,Payment,1731101074.328829,3214,8,1
2,Payment,1731101074.332825,3149,26,1
1,NewOrder,1731101074.336826,4749,0,1
1,NewOrder,1731101074.340844,7611,27,1
2,Payment,1731101074.344836,3014,3,1
2,Payment,1731101074.348825,3727,7,1
2,Payment,1731101074.352811,5080,1,1
2,Payment,1731101074.356793,4642,2,1
2,Payment,1731101074.360829,6976,6,1
1,NewOrder,1731101074.364842,24132,17,1
2,Payment,1731101074.368835,4402,5,1
2,Payment,1731101074.372832,7793,18,1
2,Payment,1731101074.376929,8976,20,1
1,NewOrder,1731101074.381174,6128,15,1
1,NewOrder,1731101074.384938,11003,31,1
2,Payment,1731101074.388831,3222,11,1
2,Payment,1731101074.392820,4004,14,1
2,Payment,1731101074.396819,3051,16,1
1,NewOrder,1731101074.400822,6703,21,1
2,Payment,1731101074.404812,4094,24,1
1,NewOrder,1731101074.408824,11627,13,1
2,Payment,1731101074.412845,8193,12,1
3,OrderStatus,1731101074.416847,3209,22,1
1,NewOrder,1731101074.420846,12119,19,1
1,NewOrder,1731101074.424840,6531,30,1
1,NewOrder,1731101074.428834,8064,4,1
2,Payment,1731101074.432893,3387,29,1
1,NewOrder,1731101074.436829,10803,10,1
2,Payment,1731101074.440837,4171,28,1
1,NewOrder,1731101074.444834,6937,9,1
1,NewOrder,1731101074.448838,6708,23,1
1,NewOrder,1731101074.452820,6801,8,1
2,Payment,1731101074.456816,4776,25,1
2,Payment,1731101074.460814,3820,26,1
2,Payment,1731101074.464802,3607,0,1
1,NewOrder,1731101074.468823,6522,3,1
1,NewOrder,1731101074.472798,5276,27,1
1,NewOrder,1731101074.476799,8000,7,1
2,Payment,1731101074.480810,3162,1,1
2,Payment,1731101074.484809,4754,2,1
1,NewOrder,1731101074.488823,19321,6,1
2,Payment,1731101074.492812,4088,5,1
5,StockLevel,1731101074.496804,2207,18,1
