Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1731100640.771882,40178,6,1
1,NewOrder,1731100640.772436,40172,9,1
2,Payment,1731100640.773439,12351,3,1
2,Payment,1731100640.774510,38854,10,1
2,Payment,1731100640.775442,20363,2,1
1,NewOrder,1731100640.776447,39313,7,1
2,Payment,1731100640.777914,33455,4,1
2,Payment,1731100640.778443,34840,1,1
1,NewOrder,1731100640.779454,33154,5,1
2,Payment,1731100640.781080,32816,0,1
1,NewOrder,1731100640.781549,34829,11,1
5,StockLevel,1731100640.782735,5198,12,1
1,NewOrder,1731100640.783446,42102,13,1
2,Payment,1731100640.784447,30321,14,1
1,NewOrder,1731100640.785869,40209,3,1
1,NewOrder,1731100640.787955,37161,12,1
2,Payment,1731100640.789903,34712,16,1
1,NewOrder,1731100640.790261,43802,19,1
2,Payment,1731100640.790325,35727,18,1
2,Payment,1731100640.790556,34675,17,1
1,NewOrder,1731100640.791453,35888,21,1
1,NewOrder,1731100640.792440,33861,22,1
1,NewOrder,1731100640.793445,92705,23,1
2,Payment,1731100640.794456,31549,24,1
2,Payment,1731100640.795610,39550,25,1
1,NewOrder,1731100640.798367,54941,26,1
2,Payment,1731100640.798389,39414,28,1
1,NewOrder,1731100640.798523,46565,27,1
1,NewOrder,1731100640.799455,33910,29,1
1,NewOrder,1731100640.800452,35194,31,1
1,NewOrder,1731100640.801450,33240,30,1
2,Payment,1731100640.802443,33077,15,1
4,Delivery,1731100640.803447,34925,20,1
1,NewOrder,1731100640.804445,30820,2,1
1,NewOrder,1731100640.811396,29186,4,1
2,Payment,1731100640.811931,53480,8,1
4,Delivery,1731100640.812084,63718,6,1
1,NewOrder,1731100640.812627,43605,5,1
2,Payment,1731100640.812630,57666,9,1
1,NewOrder,1731100640.813303,38257,1,1
2,Payment,1731100640.813384,58193,10,1
3,OrderStatus,1731100640.814259,24579,0,1
4,Delivery,1731100640.814786,61016,14,1
1,NewOrder,1731100640.815780,33930,7,1
1,NewOrder,1731100640.816400,36143,11,1
2,Payment,1731100640.824642,8414,16,1
2,Payment,1731100640.825131,61564,12,1
1,NewOrder,1731100640.825253,36052,17,1
1,NewOrder,1731100640.825566,58505,13,1
1,NewOrder,1731100640.826026,61254,24,1
1,NewOrder,1731100640.826072,23264,18,1
1,NewOrder,1731100640.826092,46158,3,1
2,Payment,1731100640.826319,61213,22,1
1,NewOrder,1731100640.827360,42015,21,1
2,Payment,1731100640.833313,60692,16,1
1,NewOrder,1731100640.833387,34495,29,1
5,StockLevel,1731100640.835543,5255,15,1
2,Payment,1731100640.835561,49819,2,1
2,Payment,1731100640.835661,60567,31,1
1,NewOrder,1731100640.835695,38895,25,1
1,NewOrder,1731100640.835701,51981,30,1
4,Delivery,1731100640.836291,26778,19,1
1,NewOrder,1731100640.837826,46714,28,1
1,NewOrder,1731100640.838394,47585,20,1
1,NewOrder,1731100640.838851,47013,0,1
1,NewOrder,1731100640.840596,48458,4,1
1,NewOrder,1731100640.840812,44706,15,1
2,Payment,1731100640.845112,55652,27,1
2,Payment,1731100640.849351,50467,18,1
1,NewOrder,1731100640.849724,47090,7,1
2,Payment,1731100640.851572,49014,1,1
1,NewOrder,1731100640.852555,13291,11,1
2,Payment,1731100640.853332,46933,26,1
4,Delivery,1731100640.856246,26322,5,1
1,NewOrder,1731100640.861324,19821,17,1
2,Payment,1731100640.863184,38333,19,1
2,Payment,1731100640.865429,33940,8,1
2,Payment,1731100640.865861,39804,11,1
2,Payment,1731100640.867899,34358,29,1
2,Payment,1731100640.869389,32682,21,1
2,Payment,1731100640.870310,29418,9,1
1,NewOrder,1731100640.871591,17287,10,1
2,Payment,1731100640.872264,30523,3,1
2,Payment,1731100640.874603,28342,25,1
1,NewOrder,1731100640.875815,21753,6,1
2,Payment,1731100640.875819,26527,14,1
1,NewOrder,1731100640.881161,9777,17,1
2,Payment,1731100640.882582,19292,5,1
2,Payment,1731100640.884084,8810,13,1
2,Payment,1731100640.884553,24030,28,1
2,Payment,1731100640.885396,22733,2,1
2,Payment,1731100640.885531,22840,15,1
3,OrderStatus,1731100640.885876,6223,0,1
2,Payment,1731100640.885989,23770,20,1
2,Payment,1731100640.886173,22296,23,1
2,Payment,1731100640.886707,22539,12,1
1,NewOrder,1731100640.887292,25855,24,1
2,Payment,1731100640.887544,21820,22,1
1,NewOrder,1731100640.887691,38719,30,1
3,OrderStatus,1731100640.888890,8790,10,1
1,NewOrder,1731100640.889065,30743,4,1
2,Payment,1731100640.890950,19419,17,1
2,Payment,1731100640.892140,18105,0,1
1,NewOrder,1731100640.892906,35081,13,1
1,NewOrder,1731100640.894020,25897,16,1
3,OrderStatus,1731100640.896241,3290,31,1
2,Payment,1731100640.896826,24598,7,1
1,NewOrder,1731100640.897580,40465,6,1
2,Payment,1731100640.897689,21756,10,1
1,NewOrder,1731100640.899386,26530,8,1
5,StockLevel,1731100640.899543,6120,31,1
1,NewOrder,1731100640.899742,33078,9,1
2,Payment,1731100640.899833,6978,18,1
1,NewOrder,1731100640.900277,26260,26,1
1,NewOrder,1731100640.900600,14890,1,1
1,NewOrder,1731100640.900775,24839,27,1
2,Payment,1731100640.901533,24281,19,1
2,Payment,1731100640.901888,23894,5,1
1,NewOrder,1731100640.902083,26659,21,1
1,NewOrder,1731100640.902269,27061,29,1
2,Payment,1731100640.902361,23739,14,1
1,NewOrder,1731100640.902799,25619,3,1
1,NewOrder,1731100640.902956,23041,25,1
2,Payment,1731100640.905679,23768,31,1
5,StockLevel,1731100640.905682,7131,11,1
2,Payment,1731100640.906825,11992,18,1
1,NewOrder,1731100640.908154,23842,2,1
2,Payment,1731100640.908384,24388,15,1
1,NewOrder,1731100640.908479,36343,23,1
1,NewOrder,1731100640.908598,46621,28,1
2,Payment,1731100640.909259,23092,12,1
1,NewOrder,1731100640.909374,32653,22,1
2,Payment,1731100640.909771,22427,20,1
1,NewOrder,1731100640.910258,22054,0,1
3,OrderStatus,1731100640.910379,4729,17,1
2,Payment,1731100640.912828,24892,11,1
2,Payment,1731100640.913162,23935,24,1
1,NewOrder,1731100640.915170,21081,17,1
2,Payment,1731100640.915505,15979,1,1
5,StockLevel,1731100640.918833,12117,18,1
2,Payment,1731100640.919458,39318,10,1
1,NewOrder,1731100640.919820,33677,4,1
2,Payment,1731100640.919926,40380,16,1
1,NewOrder,1731100640.921438,35896,7,1
2,Payment,1731100640.925631,32489,27,1
2,Payment,1731100640.925797,43436,5,1
2,Payment,1731100640.925830,35342,19,1
1,NewOrder,1731100640.925926,23592,8,1
1,NewOrder,1731100640.926010,35461,25,1
1,NewOrder,1731100640.926110,37077,14,1
5,StockLevel,1731100640.926423,9821,30,1
2,Payment,1731100640.926548,42165,26,1
