Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1640,1640.000,5,10471,16771,19764,26124,36828,47078,69895,83283
1,1622,1622.000,2,8996,13390,34775,19834,29281,36055,1014402,1024244
2,475,475.000,1,9249,14350,15384,20350,26401,30818,46343,52642
3,2284,2284.000,1,8405,13261,13994,18596,23548,27173,37042,66364
4,2249,2249.000,0,8798,12016,14229,16985,24738,31319,71875,113751
5,2313,2313.000,1,8255,12256,13819,18226,25922,29808,37178,69816
6,2384,2384.000,1,8074,12139,13497,17882,24464,28925,36129,46361
7,2301,2301.000,1,7871,12042,13859,18908,26166,29852,38945,58397
8,2419,2419.000,1,8127,12012,13309,17522,24384,28603,37345,54594
9,2360,2360.000,1,7869,11954,13449,18195,24623,29587,37565,52728
10,2487,2487.000,0,7959,11361,12854,16713,23403,27794,39003,51716
11,2340,2340.000,1,8007,11668,26557,17519,25008,29095,995456,1020228
12,150,150.000,1029,8863,11446,12432,14827,21576,24471,38226,39377
13,2319,2319.000,1,7971,12312,13832,18604,25531,29510,36990,62075
14,2315,2315.000,1,8071,12660,13799,18410,25460,29256,38896,56129
15,2431,2431.000,1,7519,11987,13163,17535,23756,29068,36813,58845
16,2482,2482.000,0,7812,11242,12855,16581,23272,28228,38434,64502
17,2482,2482.000,0,7907,11280,12912,16784,23385,27189,40203,61599
18,2430,2430.000,1,7722,11558,13156,17375,23914,28415,43360,62086
19,2202,2202.000,1,8009,11454,14232,16871,23588,27817,118353,143568
