Rate,Throughput (requests/second),Goodput (requests/second),Median Latency (microseconds),99th Percentile Latency (microseconds)
1000,999.7580924402085,709.3202669258471,5580,58923
1250,1249.6596168121018,954.3191608423056,4554,29486
1500,1499.6070073918033,946.5228638993841,5511,32695
1750,1749.7811701673825,743.6919969444979,10405,45163
2000,1998.0651237732645,783.6363216280059,12066,44473
2250,2172.5635427543302,791.8367123860886,12014,41352
250,249.95131983088157,247.05188452084334,4626,21635
2500,2022.8218916761218,739.8397194831939,12850,51226
500,499.95323494934905,489.85417960337224,2926,17457
750,749.9129394900086,701.8653139916488,3319,36784
