Rate,Throughput (requests/second),Goodput (requests/second),Median Latency (microseconds),99th Percentile Latency (microseconds)
1000,999.9539323723241,838.1113884178635,3175,37825
1250,1249.8545809094571,1162.9577386972546,2156,21343
1500,1499.7547265291316,1238.3626172380827,2853,26505
1750,1749.805735776734,929.8264785050126,6304,40170
2000,1998.6078779399468,867.3817193230981,9636,39233
2250,2084.2420876959745,739.5471924939706,12136,43407
250,250.00097720837883,247.70142812787785,1788,9755
2500,2097.5685131892915,763.1385444509954,12367,41555
500,499.95211901061737,495.4025547276208,1670,7353
750,749.9532776108235,739.403934839098,1743,9957
